id,brand,date,time_utc,platform,video_filename,media_url,hook_pattern,caption_original,caption,status
jul01-tt,seniorease,2026-07-01,17:30,tiktok,seniorease-screenshots-slideshow-en-2026-06-15.mp4,,,,"Most people think collectors need complicated apps. They need one calm list on their phone. SeniorEase — scan a barcode, check what you own. No account. No ads. Everything stays offline on your phone. Try free on Google Play. Send this to a collector who hates subscriptions ↗️ #collectors #privacy #seniorease #androidapp #calmtech",scheduled
jul01-ig,seniorease,2026-07-01,18:00,instagram,seniorease-screenshots-slideshow-en-2026-06-15.mp4,,,,"Built for real collectors — not spreadsheet people. No account needed. No ads. Your collection stays on your phone, private and offline. Swipe through how SeniorEase works. Save if you want calm over clutter. Link in bio. #collectors #privacy #seniorease #androidapp #simpleapp",scheduled
jul02-tt,seniorease,2026-07-02,17:30,tiktok,seniorease-dad-record-fair-en-2026-06-22.mp4,,Receipts (Specific Number),"My dad has been collecting vinyl for 30 years. At every record fair he buys the same pressing twice...","30 years of vinyl. Same pressing bought twice — again. One app on his phone fixed it. SeniorEase: scan the sleeve, check in seconds. No account. Works offline at record fairs. Send this to a vinyl dad in your life ↗️ #vinyl #recordfair #vinylcollector #seniorease #androidapp #familylife",scheduled
jul02-ig,seniorease,2026-07-02,18:00,instagram,seniorease-dad-record-fair-en-2026-06-22-ig.mp4,,POV / Question,"Record fair season? If your dad collects vinyl, you know this moment...","That sleeve looks familiar. Is it already at home? 30 years collecting vinyl — still guessing at every fair. SeniorEase lets him scan and check in seconds. Calm app. No account. Data stays on his phone. Save this for the next fair with someone you love. Link in bio. #seniorease #vinylcollection #recordfair #seniorlife #androidapp",scheduled
jul03-tt,seniorease,2026-07-03,17:30,tiktok,seniorease-script-en-20-stop-buying-duplicates-2026-06-19.mp4,,,,"Stop buying the same book twice. Most collectors don't need another app — they need a 5-second scan before they pay. SeniorEase: scan the barcode. Check your list. Done. Free on Google Play. No account needed. Send to a fellow collector ↗️ #booktok #duplicates #seniorease #androidapp #vinyl",scheduled
jul03-ig,seniorease,2026-07-03,18:00,instagram,seniorease-script-en-20-stop-buying-duplicates-2026-06-19-ig.mp4,,,,"Three steps. Scan. Check. Done. Never walk out with something you already own. Books, vinyl, DVDs and games — one private list on your phone. Save this habit for your next bookstore or record fair. Link in bio. #bookcollection #seniorease #androidapp #collectors #vinyl",scheduled
jul04-tt,seniorease,2026-07-04,17:30,tiktok,seniorease-script-en-7-5-second-thrift-tip-2026-06-19.mp4,,,,"Thrift store rule: scan first, buy second. 5 seconds now saves €18 later. SeniorEase checks your collection before you buy — books, vinyl, games. No account. Works offline at markets. Send this before your next thrift trip ↗️ #thrift #bookshopping #vinyl #seniorease #androidapp",scheduled
jul04-ig,seniorease,2026-07-04,18:00,instagram,seniorease-script-en-7-5-second-thrift-tip-2026-06-19-ig.mp4,,,,"Before you grab it off the shelf... scan. 5 seconds beats a duplicate at home. SeniorEase works offline at thrift stores and markets. Save this for your next trip. Link in bio. #thrifttip #seniorease #bookcollection #androidapp #collectors",scheduled
jul05-tt,seniorease,2026-07-05,17:30,tiktok,seniorease-script-en-10-collecting-for-years-2026-06-19.mp4,,,,"Collecting for 10 years? Your memory isn't a catalog. I put every book and record in one searchable list on my phone. SeniorEase. No account. Private. Offline. Send to a fellow lifelong collector ↗️ #collecting #vinylcollection #seniorease #androidapp #bookcollector",scheduled
jul05-ig,seniorease,2026-07-05,18:00,instagram,seniorease-script-en-10-collecting-for-years-2026-06-19-ig.mp4,,,,"The collection outgrew your memory years ago. SeniorEase tracks what you own — books, vinyl, DVDs, games. One calm app. Built for lifelong collectors. Save for later. Link in bio. #collectorlife #seniorease #vinyl #androidapp #books",scheduled
jul06-tt,seniorease,2026-07-06,17:30,tiktok,seniorease-slideshow-mixed-vinyl-en-2026-06-19.mp4,,,,"Familiar sleeve. €2. You buy it anyway. It's already at home. SeniorEase scans your vinyl in seconds. No account. Works offline at record fairs. Send this to a vinyl collector ↗️ #vinyl #recordcollector #seniorease #androidapp #vinyltok",scheduled
jul06-ig,seniorease,2026-07-06,18:00,instagram,seniorease-slideshow-mixed-vinyl-en-2026-06-19-ig.mp4,,,,"That moment at the record fair when the sleeve looks way too familiar... Scan before you buy. SeniorEase checks your collection in seconds. Save for fair season. Link in bio. #vinylcollection #recordfair #seniorease #androidapp #collectors",scheduled
jul07-tt,seniorease,2026-07-07,17:30,tiktok,seniorease-slideshow-mixed-books-en-2026-06-19.mp4,,,,"Most apps want 3 accounts for books, vinyl and games. SeniorEase keeps your whole collection in one calm library. Scan before you buy. No subscription — €4.99 once. Save this for your next haul ↗️ #booktok #seniorease #vinyl #androidapp #collectionapp",scheduled
jul07-ig,seniorease,2026-07-07,18:00,instagram,seniorease-slideshow-mixed-books-en-2026-06-19-ig.mp4,,,,"Books OR vinyl OR games — pick one app? SeniorEase tracks all of it in one place. One calm library. No subscription. Save if you're tired of app clutter. Link in bio. #seniorease #bookcollection #vinylcollection #androidapp #collectors",scheduled
