id,date,time_utc,platform,video_filename,caption,status
1,2026-06-02,17:00,tiktok,,"It happens to every serious collector. SeniorEase tells you exactly what you own before you buy.",scheduled
1,2026-06-02,17:30,instagram,,"Iedere verzamelaar kent het gevoel. SeniorEase vertelt je precies wat je al hebt voor je iets koopt.",scheduled
2,2026-06-03,17:00,tiktok,,"Every record you own, in one quiet list. SeniorEase — built for collectors who take their collection seriously.",scheduled
2,2026-06-03,17:30,instagram,,"Elke plaat die je bezit in één rustige lijst. SeniorEase — voor verzamelaars die hun collectie serieus nemen.",scheduled
3,2026-06-04,17:00,tiktok,,"Charity shops are dangerous without a list. SeniorEase is that list — always with you, always offline.",scheduled
3,2026-06-04,17:30,instagram,,"Kringloopwinkels zijn gevaarlijk zonder lijst. SeniorEase is die lijst — altijd bij je, altijd offline.",scheduled
4,2026-06-05,17:00,tiktok,,"For collectors who have outgrown sticky notes and memory. SeniorEase keeps your library calm and complete.",scheduled
4,2026-06-05,17:30,instagram,,"Voor verzamelaars die plakbriefjes en geheugen zijn ontgroeid. SeniorEase houdt je bibliotheek rustig en compleet.",scheduled
5,2026-06-06,17:00,tiktok,,"It happens. Especially with big collections. SeniorEase catches duplicates before you pay.",scheduled
5,2026-06-06,17:30,instagram,,"Het overkomt iedereen. Zeker met een grote collectie. SeniorEase signaleert dubbele exemplaren voor je betaalt.",scheduled
6,2026-06-07,17:00,tiktok,,"From retro to modern — SeniorEase organizes your entire game collection. No subscriptions. No accounts.",scheduled
6,2026-06-07,17:30,instagram,,"Van retro tot modern — SeniorEase organiseert je volledige gamecollectie. Geen abonnementen. Geen accounts.",scheduled
7,2026-06-09,17:00,tiktok,,"That crate has been sitting there for years. Time to know exactly what is in it. SeniorEase makes scanning fast.",scheduled
7,2026-06-09,17:30,instagram,,"Die krat staat al jaren onbehandeld. Tijd om te weten wat er exact in zit. SeniorEase maakt scannen snel.",scheduled
8,2026-06-10,17:00,tiktok,,"In a world of streaming your physical collection is yours alone. SeniorEase keeps it that way — private, offline and organized.",scheduled
8,2026-06-10,17:30,instagram,,"In een wereld vol streaming is je fysieke collectie van jou alleen. SeniorEase houdt het zo — privé, offline en georganiseerd.",scheduled
