date,weekday,platform,time_cet,content_id,content_type,media_file,caption,hashtags,status,notes
2026-06-02,Mon,tiktok,19:30,curated-vinyl,reel,curated/en/seniorease-vinyl.mp4,"Bought the same vinyl again? Scan first and check your collection in seconds. Download SeniorEase on Google Play.","#vinyl #vinylcollection #vinylrecords #recordcollector #seniorease #lpcollection #androidapp",pending,
2026-06-02,Mon,instagram,20:00,curated-vinyl,reel,curated/en/seniorease-vinyl.mp4,"Never accidentally buy the same LP twice. Scan the barcode — check your collection before you buy. Try SeniorEase free (link in bio).","#vinyl #vinylcollection #seniorease #recordcollector #androidapp #collectors",pending,
2026-06-03,Tue,tiktok,19:30,1,reel,output/seniorease-script-en-1-*.mp4,"Bought the same vinyl again? Scan first and check your collection in seconds. Download SeniorEase on Google Play.","#seniorease #collection #vinyl #androidapp #bookcollector",pending,
2026-06-03,Tue,instagram,20:00,1,reel,output/seniorease-script-en-1-*.mp4,"Bought a duplicate again? SeniorEase checks your collection in seconds. Free to try — link in bio.","#seniorease #vinyl #androidapp #bookcollector #collectors",pending,
2026-06-04,Wed,tiktok,19:30,2,reel,output/seniorease-script-en-2-*.mp4,"Did I already read this book? Scan and know instantly. Try SeniorEase free.","#books #booktok #collectionapp #android #seniorease",pending,
2026-06-04,Wed,instagram,20:00,2,reel,output/seniorease-script-en-2-*.mp4,"Not sure in the store? Scan and know instantly. Download SeniorEase on Google Play — link in bio.","#books #booktok #seniorease #androidapp #reading",pending,
2026-06-05,Thu,tiktok,19:30,curated-carousel,carousel,"curated/en/Screenshot1Scan.png … Screenshot5NoAccount.png","Your calm collection app: scan, organize, track, export — no account needed. Download SeniorEase on Google Play.","#seniorease #collectionapp #androidapp #booktok #vinyl #googleplay",pending,5 images in order
2026-06-05,Thu,instagram,20:00,curated-carousel,carousel,"curated/en/Screenshot1Scan.png … Screenshot5NoAccount.png","Scan anything · Your library · Track status · Export · No account. Swipe through how SeniorEase works. Link in bio.","#seniorease #androidapp #bookcollection #collectors #organization",pending,5 images in order
2026-06-06,Fri,tiktok,19:30,3,reel,output/seniorease-script-en-3-*.mp4,"No new account needed. No ads. Just your collection. Download SeniorEase on Google Play.","#privacy #noaccount #androidapp #seniorease",pending,
2026-06-06,Fri,instagram,20:00,3,reel,output/seniorease-script-en-3-*.mp4,"No account, no hassle. Just your collection on your phone. Try free — link in bio.","#privacy #noaccount #seniorease #androidapp #simpleapp",pending,
2026-06-09,Mon,tiktok,19:30,4,reel,output/seniorease-script-en-4-*.mp4,"Books, vinyl, DVDs and games in one calm app. Download SeniorEase on Google Play.","#books #vinyl #dvd #games #collectionapp #seniorease",pending,
2026-06-09,Mon,instagram,20:00,4,reel,output/seniorease-script-en-4-*.mp4,"Everything in one place. Real calm. Books, vinyl, DVDs & games — link in bio.","#collection #books #vinyl #seniorease #androidapp",pending,
2026-06-10,Tue,tiktok,19:30,curated-games,reel,curated/en/seniorease-games.mp4,"Never buy a game you already own. Scan your collection in seconds. Download SeniorEase on Google Play.","#gamecollection #boardgames #videogames #seniorease #androidapp #gamer",pending,
2026-06-10,Tue,instagram,20:00,curated-games,reel,curated/en/seniorease-games.mp4,"Got a game collection? Scan before you buy. Try SeniorEase free — link in bio.","#gamecollection #boardgames #seniorease #androidapp #collectors",pending,
2026-06-11,Wed,tiktok,19:30,5,reel,output/seniorease-script-en-5-*.mp4,"No signal at the market? Your list still works offline. Download SeniorEase on Google Play.","#offline #thrift #market #android #seniorease",pending,
2026-06-11,Wed,instagram,20:00,5,reel,output/seniorease-script-en-5-*.mp4,"Keep control, even without internet. Your collection stays on your phone. Link in bio.","#offline #thriftfinds #seniorease #androidapp #collectorlife",pending,
2026-06-12,Thu,tiktok,19:30,6,reel,output/seniorease-script-en-6-*.mp4,"Start free, unlock once. No monthly subscription. Download SeniorEase on Google Play.","#nosubscription #androidapp #seniorease #bookcollector #vinylcollector",pending,
2026-06-12,Thu,instagram,20:00,6,reel,output/seniorease-script-en-6-*.mp4,"Pay once and you are done. No subscription. Try free — link in bio.","#nosubscription #seniorease #android #googleplay #collectors",pending,
2026-06-13,Fri,tiktok,19:30,7,reel,output/seniorease-script-en-7-*.mp4,"5-second thrift rule: scan first, buy second. Download SeniorEase on Google Play.","#thrift #bookshopping #vinyl #tip #seniorease",pending,
2026-06-13,Fri,instagram,20:00,7,reel,output/seniorease-script-en-7-*.mp4,"Small habit, fewer duplicate buys. Scan first — link in bio.","#thrifttip #books #vinyl #seniorease #android",pending,
2026-06-16,Mon,tiktok,19:30,8,reel,output/seniorease-script-en-8-*.mp4,"If other apps feel too busy, this one is for you. Download on Google Play.","#simpleapp #clearui #androidapp #seniorease #collectors",pending,
