id,hook_text,body_text,cta_text,duration_sec,visual_suggestion,caption,hashtags
1,"Alweer dezelfde LP gekocht?","Scan de barcode en zie direct of je hem al hebt.","Download SeniorEase op Google Play.",15,"Start with vinyl close-up, then app scan screen, then library match check.","Alweer dubbel gekocht? Met SeniorEase check je in seconden of je iets al hebt.","#seniorease #collectie #vinyl #kringloop #androidapp"
2,"Heb ik dit boek al gelezen?","Zoek of scan en check het direct in je eigen lijst.","Probeer gratis tot 10 items.",15,"Bookstore shelf shot, barcode scan, result view with title found.","Twijfel in de winkel? Scan en weet het meteen.","#boeken #boekentip #collectie #android #seniorease"
3,"Geen zin in nog een account?","SeniorEase werkt zonder login en zonder gedoe.","Download en start meteen.",12,"Text card 'No account', app home screen, one-tap add flow.","Geen account, geen gedoe. Gewoon gebruiken.","#privacy #noaccount #androidapp #seniorease"
4,"Boeken, vinyl, dvd's en games in een app?","Alles staat rustig bij elkaar in een overzichtelijke bibliotheek.","SeniorEase op Google Play.",15,"4 quick cuts of each category, then unified library screen.","Alles op een plek. Rust in je collectie.","#boeken #vinyl #dvd #games #collectieapp"
5,"Slecht bereik op de markt?","Je collectie blijft op je telefoon en werkt offline.","Check SeniorEase.",12,"Outdoor market footage, airplane mode icon, app still working.","Ook zonder bereik houd je overzicht.","#offline #kringloop #markt #android"
6,"Klaar met maandelijkse kosten?","Gratis starten, daarna eenmalig 4,99 voor onbeperkt.","Geen abonnement. Wel overzicht.",15,"Price comparison card, app usage clips, calm CTA card.","Eenmalig betalen, daarna klaar.","#geenabonnement #androidapp #seniorease"
7,"Kringlooptip in 5 seconden.","Eerst scannen, dan pas kopen.","Nooit meer dubbel kopen.",10,"Thrift store shot, scan animation, green check/no duplicate badge.","Kleine gewoonte, veel minder miskopen.","#kringloop #boekenkopen #vinyl #tip"
8,"Apps te druk en onduidelijk?","SeniorEase is rustig, duidelijk en simpel in gebruik.","Download op Google Play.",15,"Busy app mockup crossed out, then calm SeniorEase UI.","Rustige app voor echte verzamelaars.","#seniorvriendelijk #eenvoudig #androidapp"
9,"Van chaos naar overzicht.","Van notities en foto's naar een duidelijke lijst met zoeken en filteren.","Probeer SeniorEase gratis.",15,"Messy notes montage, transition to sorted app list.","Eindelijk alles in een overzicht.","#organiseren #collectie #boeken #android"
10,"Verzamel je al jaren?","Houd bij wat je hebt en wat je nog zoekt.","SeniorEase helpt je onthouden.",15,"Old collection photos, current app tracking screen.","Voor verzamelaars met passie, niet met gedoe.","#verzamelen #vinylcollection #bookcollection"
11,"Dit boek komt me bekend voor...","Even scannen en meteen weten of het al in je kast staat.","Download SeniorEase.",12,"Book cover close-up, scan, existing-item alert.","Twijfel? Scan eerst.","#boeken #boekwinkel #scan #android"
12,"Handmatig invoeren kost tijd.","Barcode scannen is sneller en rustiger.","Minder gedoe, meer plezier.",12,"Typing form vs barcode scan split-screen.","Stop met overtypen, begin met scannen.","#barcode #tijdbesparen #collectieapp"
13,"Je collectie is van jou.","Geen account, geen ads, data op je toestel.","SeniorEase op Android.",15,"Privacy lock icon, local storage text card, app screens.","Privé en simpel. Zoals het hoort.","#privacyfirst #geenads #android"
14,"Eerst proberen?","Tot 10 items gratis, zonder tijdslimiet.","Start vandaag.",10,"Free tier card, add item counter up to 10.","Probeer rustig uit voordat je beslist.","#gratisapp #androidapps #seniorease"
15,"Op vinylbeurs? Doe dit eerst.","Scan de hoes en check je collectie.","Nooit meer een dubbele persing.",12,"Record fair footage, barcode scan on album sleeve.","Handig op beurzen en markten.","#vinylbeurs #vinylrecords #collectie"
16,"Snel vinden wat je zoekt?","Filter en sorteer met een tik.","SeniorEase downloaden.",12,"Filter menu tap, sorted list animation.","Altijd snel het juiste item terugvinden.","#filter #sorteren #androidapp"
17,"Backup van je collectie nodig?","Exporteer eenvoudig naar PDF of CSV.","Alles netjes bij elkaar.",15,"Export button tap, PDF/CSV preview cards.","Ook handig voor delen of printen.","#export #pdf #csv #collectiebeheer"
18,"Voor wie is SeniorEase?","Voor verzamelaars die rust, privacy en eenvoud willen.","Probeer gratis op Google Play.",15,"Audience cards: collectors, market visitors, privacy-minded users.","Gemaakt voor echte verzamelaars.","#verzamelaars #privacy #android"
19,"Twijfel je nog?","14 dagen geld-terug zonder gedoe.","Risicovrij proberen.",10,"Refund badge animation + support email card.","Rustig proberen, zonder risico.","#geldterug #androidapp #seniorease"
20,"Stop met dubbel kopen.","Scan. Check. Klaar.","Download SeniorEase op Google Play.",9,"Fast montage: scan -> match -> smile -> CTA end card.","Kort, simpel, effectief.","#dubbelkopen #boeken #vinyl #googleplay"
21,"Mijn moeder kocht dezelfde boeken steeds opnieuw.","Ze vergat wat er al in de kast stond. SeniorEase op haar telefoon: scan de barcode en zie meteen of ze het al heeft. Geen account. Geen gedoe.","Stuur deze video door naar je moeder of vader — gratis download in bio.",22,"Talk to camera; cut to bookshelf; phone scan screen; share/send gesture; CTA end card.","Mijn moeder kocht steeds dubbele boeken. Met SeniorEase scan je en weet je het meteen. Stuur door naar iemand die dit nodig heeft.","#boeken #senioren #seniorease #androidapp #booktok #cadeautip"
